H1,Er1,W1,W2,T1,Zo
13.2,3.4,4,3.5,0.7,120.3972
13.3,3.4,4,3.5,0.7,120.6949
13.4,3.4,4,3.5,0.7,120.9904
13.5,3.4,4,3.5,0.7,121.2839
13.6,3.4,4,3.5,0.7,121.5752
13.7,3.4,4,3.5,0.7,121.863
13.8,3.4,4,3.5,0.7,122.1502
13.9,3.4,4,3.5,0.7,122.4354
14,3.4,4,3.5,0.7,122.7186
14.1,3.4,4,3.5,0.7,122.9998
14.2,3.4,4,3.5,0.7,123.2791
14.3,3.4,4,3.5,0.7,123.5675
14.4,3.4,4,3.5,0.7,123.8431
14.5,3.4,4,3.5,0.7,124.1155
14.6,3.4,4,3.5,0.7,124.3874
14.7,3.4,4,3.5,0.7,124.6575
14.8,3.4,4,3.5,0.7,124.9306
14.9,3.4,4,3.5,0.7,125.1971
15,3.4,4,3.5,0.7,125.4507
2,3.6,4,3.5,0.7,50.1416
2.1,3.6,4,3.5,0.7,51.6359
2.2,3.6,4,3.5,0.7,53.0589
2.3,3.6,4,3.5,0.7,54.4544
2.4,3.6,4,3.5,0.7,55.7988
2.5,3.6,4,3.5,0.7,57.104
2.6,3.6,4,3.5,0.7,58.3686
2.7,3.6,4,3.5,0.7,59.604
2.8,3.6,4,3.5,0.7,60.8074
2.9,3.6,4,3.5,0.7,61.9659
3,3.6,4,3.5,0.7,63.0821
3.1,3.6,4,3.5,0.7,64.1944
3.2,3.6,4,3.5,0.7,65.2674
3.3,3.6,4,3.5,0.7,66.3142
3.4,3.6,4,3.5,0.7,67.3347
3.5,3.6,4,3.5,0.7,68.3309
3.6,3.6,4,3.5,0.7,69.3148
3.7,3.6,4,3.5,0.7,70.2784
3.8,3.6,4,3.5,0.7,71.2083
3.9,3.6,4,3.5,0.7,72.118
4,3.6,4,3.5,0.7,73.0078
4.1,3.6,4,3.5,0.7,73.8788
4.2,3.6,4,3.5,0.7,74.7283
4.3,3.6,4,3.5,0.7,75.5641
4.4,3.6,4,3.5,0.7,76.3942
4.5,3.6,4,3.5,0.7,77.1972
4.6,3.6,4,3.5,0.7,77.9848
4.7,3.6,4,3.5,0.7,78.7575
4.8,3.6,4,3.5,0.7,79.5311
4.9,3.6,4,3.5,0.7,80.276
5,3.6,4,3.5,0.7,81.0071
5.1,3.6,4,3.5,0.7,81.7257
5.2,3.6,4,3.5,0.7,82.4318
5.3,3.6,4,3.5,0.7,83.1357
5.4,3.6,4,3.5,0.7,83.8181
5.5,3.6,4,3.5,0.7,84.5043
5.6,3.6,4,3.5,0.7,85.1648
5.7,3.6,4,3.5,0.7,85.814
5.8,3.6,4,3.5,0.7,86.4536
5.9,3.6,4,3.5,0.7,87.0832
6,3.6,4,3.5,0.7,87.6951
6.1,3.6,4,3.5,0.7,88.3057
6.2,3.6,4,3.5,0.7,88.9301
6.3,3.6,4,3.5,0.7,89.5221
6.4,3.6,4,3.5,0.7,90.1064
6.5,3.6,4,3.5,0.7,90.6649
6.6,3.6,4,3.5,0.7,91.2322
6.7,3.6,4,3.5,0.7,91.7917
6.8,3.6,4,3.5,0.7,92.3421
6.9,3.6,4,3.5,0.7,92.8865
7,3.6,4,3.5,0.7,93.4366
7.1,3.6,4,3.5,0.7,93.9669
7.2,3.6,4,3.5,0.7,94.4902
7.3,3.6,4,3.5,0.7,95.0207
7.4,3.6,4,3.5,0.7,95.5307
7.5,3.6,4,3.5,0.7,96.0344
7.6,3.6,4,3.5,0.7,96.5308
7.7,3.6,4,3.5,0.7,97.0221
7.8,3.6,4,3.5,0.7,97.5075
7.9,3.6,4,3.5,0.7,98.0006
8,3.6,4,3.5,0.7,98.4747
8.1,3.6,4,3.5,0.7,98.9432
8.2,3.6,4,3.5,0.7,99.4064
8.3,3.6,4,3.5,0.7,99.8632
8.4,3.6,4,3.5,0.7,100.3159
8.5,3.6,4,3.5,0.7,100.7635
8.6,3.6,4,3.5,0.7,101.2172
8.7,3.6,4,3.5,0.7,101.6679
8.8,3.6,4,3.5,0.7,102.0709
8.9,3.6,4,3.5,0.7,102.5145
9,3.6,4,3.5,0.7,102.9385
9.1,3.6,4,3.5,0.7,103.358
9.2,3.6,4,3.5,0.7,103.7732
9.3,3.6,4,3.5,0.7,104.1826
9.4,3.6,4,3.5,0.7,104.5893
9.5,3.6,4,3.5,0.7,104.9919
9.6,3.6,4,3.5,0.7,105.3905
9.7,3.6,4,3.5,0.7,105.7851
9.8,3.6,4,3.5,0.7,106.176
9.9,3.6,4,3.5,0.7,106.5775
10,3.6,4,3.5,0.7,106.9683
10.1,3.6,4,3.5,0.7,107.348
10.2,3.6,4,3.5,0.7,107.7242
10.3,3.6,4,3.5,0.7,108.0968
10.4,3.6,4,3.5,0.7,108.4661
10.5,3.6,4,3.5,0.7,108.8319
10.6,3.6,4,3.5,0.7,109.1912
10.7,3.6,4,3.5,0.7,109.5504
10.8,3.6,4,3.5,0.7,109.9049
10.9,3.6,4,3.5,0.7,110.2714
11,3.6,4,3.5,0.7,110.6212
